expression                                                                     	plurality 	Yago4          	manifestation                               	modifiers            	vagueness
Wikipedia                                                                      	instance  	creativework   	named                                       	MODIFIERS            	NOT_VAGUE
a Dog Latin version of the term                                                	instance  	creativework   	undetermined contains_named                 	preposition          	subjective
Veritasiness                                                                   	instance  	creativework   	undetermined                                	MODIFIERS            	NOT_VAGUE
example                                                                        	instance  	intangible     	undetermined                                	MODIFIERS            	NOT_VAGUE
Colbert's Operation Iraqi Stephen: Going Commando                              	instance  	creativework   	named                                       	MODIFIERS            	NOT_VAGUE
the word Veritasiness                                                          	instance  	creativework   	determined named                            	MODIFIERS            	NOT_VAGUE
the banner above the eagle on the operation's seal                             	instance  	product        	determined                                  	preposition          	NOT_VAGUE
Word of the Year                                                               	instance  	creativework   	named                                       	preposition          	NOT_VAGUE
the American Dialect Society                                                   	instance  	organization   	determined named                            	adjective            	NOT_VAGUE
Merriam-Webster                                                                	instance  	organization   	named                                       	MODIFIERS            	NOT_VAGUE
Linguist and OED consultant Benjamin Zimmer                                    	instance  	person         	named                                       	MODIFIERS            	NOT_VAGUE
the word truthiness                                                            	instance  	creativework   	determined                                  	MODIFIERS            	NOT_VAGUE
a history in literature                                                        	instance  	intangible     	undetermined                                	preposition          	NOT_VAGUE
the Oxford English Dictionary (OED)                                            	instance  	creativework   	determined named                            	MODIFIERS            	NOT_VAGUE
a derivation of truthy                                                         	instance  	intangible     	undetermined                                	preposition          	NOT_VAGUE
The Century Dictionary                                                         	instance  	creativework   	determined named                            	MODIFIERS            	NOT_VAGUE
truthfulness                                                                   	instance  	intangible     	mass_noun                                   	MODIFIERS            	NOT_VAGUE
faithfulness                                                                   	instance  	intangible     	mass_noun                                   	MODIFIERS            	NOT_VAGUE
claims by Michael Adams                                                        	class     	action         	undetermined contains_named                 	preposition          	portions
the word                                                                       	class     	intangible     	determined                                  	preposition          	NOT_VAGUE
a different meaning                                                            	instance  	intangible     	undetermined                                	adjective            	degree
his definition of the word                                                     	instance  	creativework   	qualified_anaphora mass_noun                	preposition          	NOT_VAGUE
Truthiness                                                                     	instance  	creativework   	mass_noun                                   	preposition          	NOT_VAGUE
a word                                                                         	instance  	intangible     	undetermined                                	MODIFIERS            	NOT_VAGUE
my keister                                                                     	instance  	Taxon          	qualified_anaphora                          	MODIFIERS            	NOT_VAGUE
